    lat    lon     lam1     lam2     lam3    V1_Up     V1_E     V1_N    V2_Up     V2_E     V2_N    V3_Up     V3_E     V3_N
  -15.0 -120.0   4.5218  1.19988  0.18311 -0.10831 -0.60709  0.78722 -0.30508 -0.73337 -0.60753 -0.94615  0.30596  0.10578
  -15.0 -125.0    3.229  0.97119  0.31647  0.06538  0.81822 -0.57117  0.27473  0.53551  0.79859  0.95930 -0.20913 -0.18978
  -15.0 -130.0    4.456  0.90069  0.24730 -0.01160 -0.89330  0.44930 -0.22461 -0.43552 -0.87171 -0.97438  0.11103  0.19559
  -15.0 -135.0   9.4188  0.67950  0.15479  0.03032  0.91013 -0.41321  0.26669  0.39105  0.88089 -0.96331  0.13690  0.23086
  -15.0 -140.0    25.14  0.55440  0.07112 -0.08623 -0.88747  0.45273 -0.99611  0.08518 -0.02273  0.01839  0.45293  0.89136
  -15.0 -145.0   5.9618  0.81428  0.20463  0.06092  0.84942 -0.52420  0.68947 -0.41556 -0.59325  0.72174  0.32528  0.61096
  -15.0  -15.0   2.6515  1.30091  0.28814 -0.14323  0.92846  0.34270 -0.12631 -0.36059  0.92413  0.98160  0.08908  0.16892
  -15.0 -150.0   3.7725  1.06569  0.24710  0.00696  0.83104 -0.55617  0.44632 -0.50029 -0.74196  0.89485  0.24307  0.37439
  -15.0 -155.0   2.7555  1.27798  0.28202 -0.05688  0.82949 -0.55562  0.31741 -0.51263 -0.79779  0.94658  0.22174  0.23413
  -15.0 -160.0   2.1338  1.39188  0.33426  0.01235 -0.72187  0.69192 -0.29706  0.65808  0.69187 -0.95478 -0.21409 -0.20631
  -15.0 -165.0   1.8228  1.40585  0.38786 -0.04873 -0.56802  0.82157  0.25811 -0.80177 -0.53902  0.96488  0.18579  0.18569
  -15.0 -170.0   1.6152  1.44668  0.42532 -0.11478 -0.15455  0.98129 -0.16174  0.97755  0.13504 -0.98014 -0.14321 -0.13720
  -15.0 -175.0    1.687  1.36513  0.43113 -0.14733  0.23294  0.96127  0.03404 -0.97010  0.24029 -0.98850 -0.06812 -0.13499
  -15.0  -20.0    3.427  1.43320  0.20202 -0.16934  0.69953  0.69425  0.05673 -0.69634  0.71547  0.98392  0.16055  0.07824
  -15.0  -25.0   3.9856  0.78474  0.31725  0.08794 -0.31707 -0.94432  0.37633 -0.86716  0.32621 -0.92230 -0.38406  0.04306
  -15.0  -30.0   4.0944  0.61498  0.39610 -0.03946 -0.32857 -0.94365 -0.74610  0.63788 -0.19090 -0.66466 -0.69653  0.27032
  -15.0  -35.0   2.8851  0.79465  0.43371 -0.00247  0.40963  0.91225  0.23271 -0.88697  0.39891  0.97254  0.21327 -0.09314
  -15.0  -40.0   2.2462  0.97984  0.45127 -0.04061  0.55018  0.83406  0.11242 -0.82693  0.55095  0.99283  0.11614 -0.02827
  -15.0  -45.0   1.7963  1.02515  0.53934  0.12269 -0.65693 -0.74390  0.03590 -0.74613  0.66483 -0.99179 -0.10828 -0.06796
  -15.0   -5.0    3.554  1.14863  0.24354 -0.06895  0.99569  0.06196 -0.15245 -0.07189  0.98569  0.98590  0.05851  0.15675
  -15.0  -50.0    1.754  1.06990  0.52866  0.10877 -0.79547 -0.59615  0.05251 -0.59427  0.80255 -0.99268 -0.11860 -0.02287
  -15.0  -55.0   2.1909  1.00758  0.44902  0.08310 -0.83353 -0.54619 -0.08503 -0.55202  0.82948 -0.99291 -0.02249 -0.11675
  -15.0  -60.0   2.2398  0.89783  0.49237 -0.02912 -0.88350 -0.46752  0.15065 -0.46626  0.87173 -0.98816 -0.04504  0.14668
  -15.0  -65.0   2.1425  0.88230  0.52456 -0.07260 -0.91023 -0.40768  0.10505 -0.41346  0.90444 -0.99181  0.02284  0.12563
  -15.0  -70.0   2.1687  0.87413  0.52347 -0.03558 -0.92995 -0.36595  0.04954 -0.36737  0.92875 -0.99814  0.01492  0.05914
